LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
11300617,16,16,,Fennpfuhlpark,Lichtenberg Nord,Lichtenberg
07501029,16,16,,Ringstraße,Mariendorf,Tempelhof-Schöneberg
09301025,16,16,,Alt-Bohnsdorf,Treptow-Köpenick 3,Treptow-Köpenick
05300841,16,16,,Siemensdamm,Haselhorst/Siemensstadt,Spandau
03100101,16,15,1.0,Bucher Forst,Buch,Pankow
09401635,16,15,1.0,Müggelheim,Treptow-Köpenick 4,Treptow-Köpenick
06300524,15,15,,Berlepschstraße,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
06200423,15,15,,Schütte-Lanz-Straße,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
11400930,15,12,3.0,Zachertstraße,Lichtenberg Mitte,Lichtenberg
06300629,15,14,1.0,Botanischer Garten,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
05100210,15,11,4.0,Germersheimer Platz,Spandau Mitte/Nord,Spandau
03100102,15,15,,Klinikum Buch,Buch,Pankow
05100209,15,13,2.0,Westerwaldstraße,Spandau Mitte/Nord,Spandau
09300922,15,14,1.0,Kosmos Viertel,Treptow-Köpenick 3,Treptow-Köpenick
10100206,15,6,9.0,Wuhletalstraße,Marzahn,Marzahn-Hellersdorf
10100312,15,14,1.0,Springpfuhl,Marzahn,Marzahn-Hellersdorf
03400620,15,15,,Schönholz,Südliches Pankow,Pankow
11100308,15,11,4.0,Zingster Straße West,Hohenschönhausen Nord,Lichtenberg
12601032,14,14,,Rollbergesiedlung,Märkisches Viertel,Reinickendorf
08100313,14,14,,Bouchéstraße,Neukölln,Neukölln
12200308,14,13,1.0,Mellerbogen,Tegel,Reinickendorf
11200515,14,11,3.0,Weiße Taube,Hohenschönhausen Süd,Lichtenberg
08200624,14,13,1.0,Tempelhofer Weg,Britz/Bukow,Neukölln
05200631,14,13,1.0,Wilhelmstadt Ost,Wilhelmstadt/Staaken,Spandau
06200314,14,12,2.0,Kaiser-Wilhelm-Straße,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
10200423,14,8,6.0,Böhlener Straße,Hellersdorf,Marzahn-Hellersdorf
11100203,13,7,6.0,Falkenberg Ost,Hohenschönhausen Nord,Lichtenberg
10100210,13,11,2.0,Marzahner Promenade,Marzahn,Marzahn-Hellersdorf
06200315,13,12,1.0,Gallwitzallee,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
12200310,13,12,1.0,Klixstraße,Tegel,Reinickendorf
12400619,13,13,,Heiligensee,Grüner Norden,Reinickendorf
12400618,13,13,,Heiligensee Nord,Grüner Norden,Reinickendorf
12400617,13,13,,Alt-Heiligensee,Grüner Norden,Reinickendorf
03400831,12,12,,Pankower Tor,Südliches Pankow,Pankow
08301037,12,12,,Gropiusstadt Süd-Ost,Gropiusstadt,Neukölln
10100101,12,7,5.0,Marzahn West,Marzahn,Marzahn-Hellersdorf
06200312,12,12,,Komponistenviertel Lankwitz,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
10100315,12,7,5.0,Bärenstein,Marzahn,Marzahn-Hellersdorf
07601339,12,12,,Tirschenreuther Ring West,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
10200418,12,10,2.0,Kyritzer Straße,Hellersdorf,Marzahn-Hellersdorf
05100102,12,8,4.0,Am Forstacker,Spandau Mitte/Nord,Spandau
08200831,12,11,1.0,Buckow West,Britz/Bukow,Neukölln
10100316,12,7,5.0,Landsberger Tor,Marzahn,Marzahn-Hellersdorf
07601236,12,9,3.0,Marienfelder Allee Nordwest,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
08401138,12,12,,Goldhähnchenweg,Buckow Nord/Rudow,Neukölln
12601235,12,10,2.0,Dannenwalder Weg,Märkisches Viertel,Reinickendorf
05100208,12,11,1.0,Im Spektefeld,Spandau Mitte/Nord,Spandau
05300735,11,11,,Haveleck,Haselhorst/Siemensstadt,Spandau
10200419,11,5,6.0,Havelländer Ring,Hellersdorf,Marzahn-Hellersdorf
07601443,11,11,,Töpchiner Weg,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
10200627,11,10,1.0,Am Kienberg,Hellersdorf,Marzahn-Hellersdorf
01200521,11,11,,Zwinglistraße,Moabit,Mitte
10200421,11,11,,Helle Mitte,Hellersdorf,Marzahn-Hellersdorf
12200413,11,9,2.0,Tegel Süd,Tegel,Reinickendorf
11100205,11,8,3.0,Wartenberg Süd,Hohenschönhausen Nord,Lichtenberg
12500930,10,10,,Wittenau Mitte,Wittenau/Borsigwalde,Reinickendorf
10100207,10,5,5.0,Ahrensfelder Berge,Marzahn,Marzahn-Hellersdorf
05100317,10,10,,Freiheit,Spandau Mitte/Nord,Spandau
09501941,10,10,,Friedrichshagener Straße,Treptow-Köpenick 5,Treptow-Köpenick
08200728,10,9,1.0,Ortolanweg,Britz/Bukow,Neukölln
05200527,10,8,2.0,Maulbeerallee,Wilhelmstadt/Staaken,Spandau
04400729,9,9,,Hundekehle,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
08100520,9,9,,Weiße Siedlung,Neukölln,Neukölln
08401139,9,9,,Vogelviertel Süd,Buckow Nord/Rudow,Neukölln
09200614,9,7,2.0,Oberspree,Treptow-Köpenick 2,Treptow-Köpenick
06200316,9,9,,Belßstraße,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
08301036,9,9,,Gropiusstadt Mitte,Gropiusstadt,Neukölln
10200630,9,9,,Cecilienplatz,Hellersdorf,Marzahn-Hellersdorf
07601545,9,9,,Nahariyastraße,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
04100102,9,9,,Paul-Hertz-Siedlung,Charlottenburg Nord,Charlottenburg-Wilmersdorf
10200417,9,4,5.0,Zossener Straße,Hellersdorf,Marzahn-Hellersdorf
10200628,9,7,2.0,Neue Grottkauer Straße,Hellersdorf,Marzahn-Hellersdorf
05400942,9,9,,Alt-Gatow,Gatow/Gladow,Spandau
07601341,9,9,,Diedersdorfer Weg,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
05200634,9,9,,Börnicker Straße,Wilhelmstadt/Staaken,Spandau
10100311,9,9,,Marzahner Chaussee,Marzahn,Marzahn-Hellersdorf
10100102,8,3,5.0,Rosenbecker Straße,Marzahn,Marzahn-Hellersdorf
11100101,8,8,,Dörfer Malchow-Wartenberg,Hohenschönhausen Nord,Lichtenberg
10400837,8,8,,Kaulsdorf Süd,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
04400833,8,8,,Schlangenbader Straße,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
05200528,8,7,1.0,Weinmeisterhornweg,Wilhelmstadt/Staaken,Spandau
05300839,8,7,1.0,Rohrdamm,Haselhorst/Siemensstadt,Spandau
03200204,8,8,,Blankenfelde,Nördliches Pankow,Pankow
05200423,8,6,2.0,Magistratsweg,Wilhelmstadt/Staaken,Spandau
04400728,8,7,1.0,Hagenplatz,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
12100206,8,6,2.0,Humboldtstraße,Reinickendorf Ost,Reinickendorf
07601237,8,7,1.0,Kirchstraße,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
11300723,8,8,,Bornitzstraße,Lichtenberg Nord,Lichtenberg
10100104,8,7,1.0,Golliner Straße,Marzahn,Marzahn-Hellersdorf
12500929,8,8,,Lübars,Wittenau/Borsigwalde,Reinickendorf
12601031,7,6,1.0,Lübarser Straße,Märkisches Viertel,Reinickendorf
07501135,7,7,,Birnhornweg,Mariendorf,Tempelhof-Schöneberg
08401246,7,7,,Waltersdorfer Chaussee Ost,Buckow Nord/Rudow,Neukölln
10100313,7,6,1.0,Alt-Marzahn,Marzahn,Marzahn-Hellersdorf
05100207,7,7,,An der Tränke,Spandau Mitte/Nord,Spandau
10100103,7,5,2.0,Wittenberger Straße,Marzahn,Marzahn-Hellersdorf
07601340,7,6,1.0,Tirschenreuther Ring Ost,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
06300525,7,7,,Zehlendorf Süd,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
11100206,7,1,6.0,Wartenberg Nord,Hohenschönhausen Nord,Lichtenberg
05100103,7,5,2.0,Mertensstraße,Spandau Mitte/Nord,Spandau
10100314,7,4,3.0,Auersbergstraße,Marzahn,Marzahn-Hellersdorf
11100102,7,7,,Dorf Falkenberg,Hohenschönhausen Nord,Lichtenberg
12200307,7,7,,Reinickes Hof,Tegel,Reinickendorf
05100101,7,6,1.0,Hakenfelde Nord,Spandau Mitte/Nord,Spandau
04200204,7,7,,Angerburger Allee,Charlottenburg West,Charlottenburg-Wilmersdorf
10200422,7,2,5.0,Hellersdorfer Promenade,Hellersdorf,Marzahn-Hellersdorf
08200832,6,6,,Buckow Mitte,Britz/Bukow,Neukölln
05400945,6,6,,Kafkastraße,Gatow/Gladow,Spandau
10100205,6,6,,Gewerbegebiet Bitterfelder Straße,Marzahn,Marzahn-Hellersdorf
05400944,6,6,,Kladower Damm,Gatow/Gladow,Spandau
01400941,6,5,1.0,Londoner Straße,Wedding,Mitte
08200725,6,6,,Mohriner Allee Nord,Britz/Bukow,Neukölln
04200206,6,5,1.0,Kranzallee,Charlottenburg West,Charlottenburg-Wilmersdorf
12601236,6,6,,Schorfheidestraße,Märkisches Viertel,Reinickendorf
08401242,6,6,,Zittauer Straße,Buckow Nord/Rudow,Neukölln
07601442,6,6,,Kettinger Straße,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
08200730,5,5,,Handwerker-Siedlung,Britz/Bukow,Neukölln
04400831,5,5,,Messelpark,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
06200317,5,5,,Lankwitz Süd,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
06200419,5,4,1.0,Thermometersiedlung,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
10400940,5,5,,Elsensee,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
05200421,5,5,,Spandauer Straße,Wilhelmstadt/Staaken,Spandau
05200418,5,5,,Isenburger Weg,Wilhelmstadt/Staaken,Spandau
05200526,5,5,,Rudolf-Wissell-Großsiedlung,Wilhelmstadt/Staaken,Spandau
06300631,5,5,,Goerzwerke,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
07400928,5,5,,Germaniagarten,Tempelhof,Tempelhof-Schöneberg
04200205,5,5,,Flatowallee,Charlottenburg West,Charlottenburg-Wilmersdorf
07601547,4,4,,Horstwalder Straße,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
10400941,4,4,,Pilgramer Straße,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
05200633,4,4,,Graetschelsteig,Wilhelmstadt/Staaken,Spandau
01200627,4,3,1.0,Zillesiedlung,Moabit,Mitte
03300413,4,4,,Karow Ost,Nördliches Weißensee,Pankow
10400835,4,4,,Kaulsdorf Nord,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
05200632,4,4,,Tiefwerder,Wilhelmstadt/Staaken,Spandau
05100206,4,3,1.0,Griesingerstraße,Spandau Mitte/Nord,Spandau
10200525,4,1,3.0,Schleipfuhl,Hellersdorf,Marzahn-Hellersdorf
08401245,4,3,1.0,Frauenviertel,Buckow Nord/Rudow,Neukölln
10200526,3,2,1.0,Boulevard Kastanienallee,Hellersdorf,Marzahn-Hellersdorf
05200525,3,2,1.0,Pillnitzer Weg,Wilhelmstadt/Staaken,Spandau
04200203,3,3,,Olympiagelände,Charlottenburg West,Charlottenburg-Wilmersdorf
12200411,3,2,1.0,Schumacher-Quartier,Tegel,Reinickendorf
09301228,3,3,,Schmöckwitz/Rauchfangswerder,Treptow-Köpenick 3,Treptow-Köpenick
07601548,3,3,,Wittelsbacherstraße,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
05200420,3,3,,Staakener Straße,Wilhelmstadt/Staaken,Spandau
09401330,3,3,,Wendenschloß,Treptow-Köpenick 4,Treptow-Köpenick
09100306,3,3,,Späthsfelde,Treptow-Köpenick 1,Treptow-Köpenick
08200729,2,2,,Britzer Garten,Britz/Bukow,Neukölln
05100211,2,2,,An der Kappe,Spandau Mitte/Nord,Spandau
08401241,2,2,,Blumenviertel,Buckow Nord/Rudow,Neukölln
05200419,2,2,,Am Heideberg,Wilhelmstadt/Staaken,Spandau
09401432,2,2,,Siedlung Kämmereiheide,Treptow-Köpenick 4,Treptow-Köpenick
12400616,2,2,,Konradshöhe/Tegelort,Grüner Norden,Reinickendorf
03300517,2,2,,Märchenland,Nördliches Weißensee,Pankow
05200524,2,2,,Döberitzer Weg,Wilhelmstadt/Staaken,Spandau
03300515,1,1,,Blankenburger Süden,Nördliches Weißensee,Pankow
08401140,1,1,,Vogelviertel Nord,Buckow Nord/Rudow,Neukölln
12200414,1,1,,TXL,Tegel,Reinickendorf
05200422,1,1,,Werkstraße,Wilhelmstadt/Staaken,Spandau
09301227,1,1,,Karolinenhof,Treptow-Köpenick 3,Treptow-Köpenick
