LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
01200624,55,43,12.0,Heidestraße,Moabit,Mitte
04501153,55,51,4.0,Babelsberger Straße,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
03400724,55,52,3.0,Wolfshagener Straße,Südliches Pankow,Pankow
11501340,55,52,3.0,Karlshorst Nord,Lichtenberg Süd,Lichtenberg
01401046,54,48,6.0,Nordufer,Wedding,Mitte
03601346,54,53,1.0,Gethsemanekirche,Nördlicher Prenzlauer Berg,Pankow
08100209,54,52,2.0,Glasower Straße,Neukölln,Neukölln
03500934,54,49,5.0,Weißenseer Spitze,Südliches Weißensee,Pankow
11401137,53,52,1.0,Erieseering,Lichtenberg Mitte,Lichtenberg
04500937,53,46,7.0,Halensee,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
09502043,53,50,3.0,Dammheide,Treptow-Köpenick 5,Treptow-Köpenick
04501151,53,52,1.0,Hildegardstraße,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
02500831,53,49,4.0,Wismarplatz,Freidrichshain Ost,Friedrichshain-Kreuzberg
06200422,53,52,1.0,Oberhofer Platz,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
02100102,53,50,3.0,Mehringplatz,Kreuzberg Nord,Friedrichshain-Kreuzberg
03701658,52,48,4.0,Christburger Straße,Südlicher Prenzlauer Berg,Pankow
01300732,51,43,8.0,Soldiner Straße,Gesundbrunnen,Mitte
04501040,51,49,2.0,Hindemithplatz,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
02300316,50,48,2.0,Köpenicker Straße,Kreuzberg Ost,Friedrichshain-Kreuzberg
11300826,50,48,2.0,Frankfurter Allee Süd,Lichtenberg Nord,Lichtenberg
03300514,50,50,,Blankenburg,Nördliches Weißensee,Pankow
12100101,50,37,13.0,Letteplatz,Reinickendorf Ost,Reinickendorf
09401534,50,47,3.0,Altstadt Köpenick,Treptow-Köpenick 4,Treptow-Köpenick
11200514,50,37,13.0,Landsberger Allee,Hohenschönhausen Süd,Lichtenberg
01200522,49,48,1.0,Elberfelder Straße,Moabit,Mitte
10400939,49,48,1.0,Alt-Mahlsdorf,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
04500936,49,45,4.0,Droysenstraße,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
11200513,49,32,17.0,Große-Leege-Straße,Hohenschönhausen Süd,Lichtenberg
03500936,48,46,2.0,Komponistenviertel Weißensee,Südliches Weißensee,Pankow
02100105,48,44,4.0,Prinzenstraße,Kreuzberg Nord,Friedrichshain-Kreuzberg
03400830,48,48,,Kissingenviertel,Südliches Pankow,Pankow
04400835,48,47,1.0,Rüdesheimer Platz,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
