BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
03G06;Pankow;G;Bötzow-Grundschule;John-Schehr-Str. 38;10407;Berlin;John-Schehr-Str. 38 10407 Berlin;Anschluss nutzbar;Ja;23.08.22;07.02.23;15.03.23;Ja
03G08;Pankow;G;Grundschule am Planetarium;Ella-Kay-Str. 47;10405;Berlin;Ella-Kay-Str. 47 10405 Berlin;Aktive Technik verbaut;Ja;27.07.22;06.06.23;19.03.24;Nein
03G09;Pankow;G;Thomas-Mann-Grundschule;Greifenhagener Str. 58;10437;Berlin;Greifenhagener Str. 58 10437 Berlin;Aktive Technik verbaut;Ja;29.06.22;16.08.23;20.09.23;Nein
03G10;Pankow;G;Grundschule am Hohen Feld;Bedeweg 1;13125;Berlin;Bedeweg 1 13125 Berlin;Anschluss nutzbar;Ja;13.07.22;16.12.22;24.02.23;Ja
03G11;Pankow;G;Schule am Falkplatz (Grundschule);Gleimstr. 49;10437;Berlin;Gleimstr. 49 10437 Berlin;Anschluss nutzbar;Ja;29.06.22;01.11.22;04.07.23;Ja
04A04;Charlottenburg-Wilmersdorf;A;Charlotte-Wolff-Kolleg;Pestalozzistr. 40-41;10627;Berlin;Pestalozzistr. 40-41 10627 Berlin;Aktive Technik in Planung;Ja;01.09.22;27.03.24;;Nein
04G01;Charlottenburg-Wilmersdorf;G;Eichendorff-Grundschule;Goethestr. 19;10625;Berlin;Goethestr. 19 10625 Berlin;Begehung durchgeführt;Ja;01.09.22;;;Nein
04G02;Charlottenburg-Wilmersdorf;G;Lietzensee-Grundschule;Witzlebenstr. 34-35;14057;Berlin;Witzlebenstr. 34-35 14057 Berlin;Anschluss nutzbar;Ja;11.08.22;03.11.23;30.04.24;Ja
04G04;Charlottenburg-Wilmersdorf;G;Joan-Miró-Grundschule;Bleibtreustr. 43;10623;Berlin;Bleibtreustr. 43 10623 Berlin;Anschluss nutzbar;Ja;29.09.22;09.08.23;09.11.23;Ja
04G05;Charlottenburg-Wilmersdorf;G;Dietrich-Bonhoeffer-Grundschule;Spandauer Damm 205-215;14050;Berlin;Spandauer Damm 205-215 14050 Berlin;Anschluss nutzbar;Ja;14.10.22;08.08.23;15.11.23;Ja
04G06;Charlottenburg-Wilmersdorf;G;Wald-Grundschule;Waldschulallee 83-93;14055;Berlin;Waldschulallee 83-93 14055 Berlin;Aktive Technik in Planung;Ja;07.10.22;07.08.23;;Nein
04G07;Charlottenburg-Wilmersdorf;G;Ludwig-Cauer-Grundschule;Cauerstr. 36-38;10587;Berlin;Cauerstr. 36-38 10587 Berlin;Begehung durchgeführt;Ja;09.08.22;;;Nein
04G08;Charlottenburg-Wilmersdorf;G;Mierendorff-Grundschule;Mierendorffstr. 20-24;10589;Berlin;Mierendorffstr. 20-24 10589 Berlin;Begehung durchgeführt;Ja;14.10.22;;;Nein
04G09;Charlottenburg-Wilmersdorf;G;Erwin-von-Witzleben-Grundschule;Halemweg 34;13627;Berlin;Halemweg 34 13627 Berlin;Anschluss nutzbar;Ja;29.09.22;08.02.23;27.09.23;Ja
04G11;Charlottenburg-Wilmersdorf;G;Helmuth-James-von-Moltke-Grundschule;Heckerdamm 221;13627;Berlin;Heckerdamm 221 13627 Berlin;Begehung durchgeführt;Ja;01.09.22;;;Nein
05A03;Spandau;A;Volkshochschule Spandau;Carl-Schurz-Straße 59;13597;Berlin;Carl-Schurz-Straße 59 13597 Berlin;Aktive Technik in Planung;Ja;22.07.22;12.12.23;;Nein
05G01;Spandau;G;Ernst-Ludwig-Heim-Grundschule;Grunewaldstr. 8;13597;Berlin;Grunewaldstr. 8 13597 Berlin;Anschluss nutzbar;Ja;22.07.22;09.12.22;15.02.24;Ja
05G02;Spandau;G;Grundschule am Eichenwald;Gaismannshofer Weg 2;13587;Berlin;Gaismannshofer Weg 2 13587 Berlin;Begehung durchgeführt;Ja;26.07.22;;;Nein
05G04;Spandau;G;Klosterfeld-Grundschule;Seegefelder Str. 125;13583;Berlin;Seegefelder Str. 125 13583 Berlin;Anschluss nutzbar;Ja;05.08.22;03.02.23;10.01.24;Ja
05G05;Spandau;G;Christoph-Földerich-Grundschule;Földerichplatz 5;13595;Berlin;Földerichplatz 5 13595 Berlin;Aktive Technik verbaut;Ja;28.07.22;03.03.23;03.05.24;Nein
05G06;Spandau;G;Siegerland-Grundschule;Hermann-Schmidt-Weg 4;13589;Berlin;Hermann-Schmidt-Weg 4 13589 Berlin;Begehung durchgeführt;Ja;19.10.22;;;Nein
